RowNum,Transect_id,year,Total_cm,Code,Full_name,Origin,code_new,fullname_new,Origin_new
14,1has1,1997,261,casp,Carex spp.,native,care,Carex sp.,
15,1has1,1997,19,gras2,Unidentified grass,NA,gras,unchanged,
20,1has1,1997,69,cisp,Cirsium spp.,native,cine,Cirsium neomexicanum,
22,1has1,1997,1,cisp,Cirsium spp.,native,cine,Cirsium neomexicanum,
33,1has1,1998,400,casp,Carex spp.,native,care,Carex sp.,
41,1has1,1998,23,gras,Unidentified grass,NA,gras,unchanged,
54,1has1,1998,4,cisp,Cirsium spp.,native,cine,Cirsium neomexicanum,
60,1has1,1998,18,cisp,Cirsium spp.,native,cine,Cirsium neomexicanum,
66,1has1,2008,368,caxx,Carex spp.,native,care,Carex sp.,
70,1has1,2008,23,cixx,Cirsium sp.,native,cine,Cirsium neomexicanum,
71,1has1,2008,57,gras,Unidentified grass,NA,gras,unchanged,
72,1has1,2008,8,gras,Unidentified grass,NA,gras,unchanged,
73,1has1,2008,25,gexx,Geranium species,native,geca,Geranium caespitosum,
77,1has1,2008,13,hier,Hieracium spp.,NA,hife,Hieracium fendleri,native
78,1has1,2008,3,forb,Unidentified forb,NA,unchanged,unchanged,
86,1has1,2008,9,oexx,Oenothera sp.,native,oeho,Oenothera hookeri,
93,1has1,2013,245,cixx,Cirsium sp.,native,cine,Cirsium neomexicanum,
95,1has1,2013,5,unkn,Unknown plant,NA,unchanged,unchanged,
98,1has1,2013,46,cixx,Cirsium sp.,native,cine,Cirsium neomexicanum,
100,1has1,2013,9,oexx,Oenothera sp.,native,oeho,Oenothera hookeri,
106,1has1,2013,7,oexx,Oenothera sp.,native,oeho,Oenothera hookeri,
112,1has1,2016,461,gras,Unidentified grass,NA,gras,unchanged,
115,1has1,2016,23,blit,"dead, attached BRIN lvs on grnd over bare",exotic,brin,Bromus inermis,
116,1has1,2016,61,forb,Unidentified forb,NA,unchanged,unchanged,
117,1has1,2016,383,subs,Unidentified subshrub,NA,unchanged,unchanged,
118,1has1,2016,497,forb,Unidentified forb,NA,unchanged,unchanged,
119,1has1,2016,10,unkn,Unknown plant,NA,unchanged,unchanged,
133,1has1,2019,81,gras,Unidentified grass,NA,gras,unchanged,
139,1has1,2019,2,forb,Unidentified forb,NA,unchanged,unchanged,
140,1has1,2019,15,cine,Cirsium neomexicanum,native,unchanged,unchanged,
