"","Transect_id","year","Analysis type","Basal_cm","Canopy_cm","Total_cm","Transect_cm","Code","Status","Full_name","RevBI","FS_BAND","TRT","PctC","Growth_form","Origin","Plant","RowNum"
"1","1has1",1997,"entire",4600,0,4600,5000,"grav","live","Gravel","High","FS","Seeded",0,"B",NA,"n",1
"2","1has1",1997,"entire",125,0,125,5000,"bare","live","Bare","High","FS","Seeded",0,"B",NA,"n",2
"3","1has1",1997,"entire",83,0,83,5000,"pipo","dead","Pinus ponderosa","High","FS","Seeded",0,"T","native","y",3
"4","1has1",1997,"entire",59,0,59,5000,"litt","live","Litter","High","FS","Seeded",0,"L",NA,"n",4
"5","1has1",1997,"entire",34,48,82,5000,"wood","live","Wood","High","FS","Seeded",0.96,"L",NA,"n",5
"6","1has1",1997,"entire",29,644,673,5000,"brca2","live","bromus carinatus","High","FS","Seeded",12.88,"G","native","y",6
"7","1has1",1997,"entire",19,0,19,5000,"rock","live","Rock","High","FS","Seeded",0,"B",NA,"n",7
"8","1has1",1997,"entire",15,660,675,5000,"lomu","live","Lolium multiflorum","High","FS","Seeded",13.2,"G","exotic","y",8
"9","1has1",1997,"entire",11,111,122,5000,"brin","live","Bromus inermis","High","FS","Seeded",2.22,"G","exotic","y",9
"10","1has1",1997,"entire",11,0,11,5000,"root","live","Root","High","FS","Seeded",0,"T",NA,"n",10
"11","1has1",1997,"entire",6,78,84,5000,"eltr","live","Elymus trachycaulum","High","FS","Seeded",1.56,"G","native","y",11
"12","1has1",1997,"entire",3,205,208,5000,"quga","live","Quercus gambellii","High","FS","Seeded",4.1,"S","native","y",12
"13","1has1",1997,"entire",3,24,27,5000,"mumo","live","Muhlenbergia montana","High","FS","Seeded",0.48,"G","native","y",13
"14","1has1",1997,"entire",2,259,261,5000,"casp","live","Carex spp.","High","FS","Seeded",5.18,"G",NA,"y",14
"15","1has1",1997,"entire",0,19,19,5000,"gras2","live","Unidentified grass","High","FS","Seeded",0.38,"G",NA,"y",15
"16","1has1",1997,"entire",0,43,43,5000,"oeho","live","Oenothera hookeri","High","FS","Seeded",0.86,"F","native","y",16
"17","1has1",1997,"entire",0,56,56,5000,"geca","live","Geranium caespitosum","High","FS","Seeded",1.12,"F","native","y",17
"18","1has1",1997,"entire",0,118,118,5000,"lomu","dead","Lolium multiflorum","High","FS","Seeded",2.36,"G","exotic","y",18
"19","1has1",1997,"entire",0,5,5,5000,"spcr","live","Sporobolus cryptandrus","High","FS","Seeded",0.1,"G","native","y",19
"20","1has1",1997,"entire",0,69,69,5000,"cisp","live","Cirsium spp.","High","FS","Seeded",1.38,"F",NA,"y",20
"21","1has1",1997,"entire",0,38,38,5000,"limu","live","Lithospermum multiflorum","High","FS","Seeded",0.76,"F","native","y",21
"22","1has1",1997,"entire",0,1,1,5000,"cisp","dead","Cirsium spp.","High","FS","Seeded",0.02,"F",NA,"y",22
"23","1has1",1997,"entire",0,14,14,5000,"chgr","live","Chenopodium graveolens","High","FS","Seeded",0.28,"F","exotic","y",23
"24","1has1",1997,"entire",0,21,21,5000,"cefe","live","Ceanothus fendleri","High","FS","Seeded",0.42,"U","native","y",24
"25","1has1",1997,"entire",0,11,11,5000,"rone","live","Robinia neomexicana","High","FS","Seeded",0.22,"S","native","y",25
"26","1has1",1997,"entire",0,12,12,5000,"cosc","live","Conyza schiedeana","High","FS","Seeded",0.24,"F","native","y",26
"27","1has1",1997,"entire",0,1,1,5000,"muwo","live","Muhlenbergia wolfii","High","FS","Seeded",0.02,"G","native","y",27
"28","1has1",1997,"entire",0,18,18,5000,"chal","live","Chenopodium album","High","FS","Seeded",0.36,"F","exotic","y",28
"29","1has1",1998,"entire",3446,0,3446,5000,"grav","live","Gravel","High","FS","Seeded",0,"B",NA,"n",29
"30","1has1",1998,"entire",936,0,936,5000,"litt","live","Litter","High","FS","Seeded",0,"L",NA,"n",30
