"","Transect_id","year","Full_name","Analysis type","Status","Growth_form","Code","RevBI","FS_BAND","TRT","Plant","Transect_cm","Origin","Total_cm","Basal_cm","Canopy_cm","PctC"
"1","1has1",1997,"Gravel","entire","live","B","grav","High","FS","Seeded","n",5000,NA,4600,4600,0,0
"2","1has1",1997,"Bare","entire","live","B","bare","High","FS","Seeded","n",5000,NA,125,125,0,0
"3","1has1",1997,"Pinus ponderosa","entire","dead","T","pipo","High","FS","Seeded","y",5000,"native",83,83,0,0
"4","1has1",1997,"Litter","entire","live","L","litt","High","FS","Seeded","n",5000,NA,59,59,0,0
"5","1has1",1997,"Wood","entire","live","L","wood","High","FS","Seeded","n",5000,NA,82,34,48,1
"6","1has1",1997,"Bromus carinatus","entire","live","G","brca2","High","FS","Seeded","y",5000,"native",673,29,644,13
"7","1has1",1997,"Rock","entire","live","B","rock","High","FS","Seeded","n",5000,NA,19,19,0,0
"8","1has1",1997,"Lolium multiflorum","entire","live","G","lomu","High","FS","Seeded","y",5000,"exotic",675,15,660,13
"9","1has1",1997,"Bromus inermis","entire","live","G","brin","High","FS","Seeded","y",5000,"exotic",122,11,111,2
"10","1has1",1997,"Root","entire","live","T","root","High","FS","Seeded","n",5000,NA,11,11,0,0
"11","1has1",1997,"Elymus trachycaulum","entire","live","G","eltr","High","FS","Seeded","y",5000,"native",84,6,78,2
"12","1has1",1997,"Quercus gambellii","entire","live","S","quga","High","FS","Seeded","y",5000,"native",208,3,205,4
"13","1has1",1997,"Muhlenbergia montana","entire","live","G","mumo","High","FS","Seeded","y",5000,"native",27,3,24,0
"14","1has1",1997,"Carex sp.","entire","live","G","care","High","FS","Seeded","y",5000,"native",261,2,259,5
"15","1has1",1997,"Unidentified grass","entire","live","G","gras","High","FS","Seeded","y",5000,NA,19,0,19,0
"16","1has1",1997,"Oenothera hookeri","entire","live","F","oeho","High","FS","Seeded","y",5000,"native",43,0,43,1
"17","1has1",1997,"Geranium caespitosum","entire","live","F","geca","High","FS","Seeded","y",5000,"native",56,0,56,1
"18","1has1",1997,"Lolium multiflorum","entire","dead","G","lomu","High","FS","Seeded","y",5000,"exotic",118,0,118,2
"19","1has1",1997,"Sporobolus cryptandrus","entire","live","G","spcr","High","FS","Seeded","y",5000,"native",5,0,5,0
"20","1has1",1997,"Cirsium neomexicanum","entire","live","F","cine","High","FS","Seeded","y",5000,"native",69,0,69,1
