"","plot","year","month","spei"
"1","1HAS1","1981","01",NA
"2","1HAS2","1981","01",NA
"3","1HBS1","1981","01",NA
"4","1HBS2","1981","01",NA
"5","1MAS1","1981","01",NA
"6","1MAS2","1981","01",NA
"7","1MBS1","1981","01",NA
"8","1MBS2","1981","01",NA
"9","1U1","1981","01",NA
"10","1U2","1981","01",NA
"11","2HAS1","1981","01",NA
"12","2HAS2","1981","01",NA
"13","2HAU1","1981","01",NA
"14","2HAU2","1981","01",NA
"15","2HBS1","1981","01",NA
"16","2HBS2","1981","01",NA
"17","2HBU1","1981","01",NA
"18","2HBU2","1981","01",NA
"19","2MAS1","1981","01",NA
"20","2MAS2","1981","01",NA
"21","2MAU1","1981","01",NA
"22","2MAU2","1981","01",NA
"23","2MBS1","1981","01",NA
"24","2MBS2","1981","01",NA
"25","2MBS3","1981","01",NA
"26","2MBU1","1981","01",NA
"27","2MBU2","1981","01",NA
"28","2U1","1981","01",NA
"29","2U2","1981","01",NA
"30","3HAS1","1981","01",NA
"31","3HAS2","1981","01",NA
"32","3HBS1","1981","01",NA
"33","3HBS2","1981","01",NA
"34","3MAS1","1981","01",NA
"35","3MAS2","1981","01",NA
"36","3MBS1","1981","01",NA
"37","3MBS2","1981","01",NA
"38","3MBS3","1981","01",NA
"39","3U2","1981","01",NA
"40","3HBU1","1981","01",NA
"41","3HAU1","1981","01",NA
"42","3MAU1","1981","01",NA
"43","3LAU1","1981","01",NA
"44","3MAU2","1981","01",NA
"45","3MBU2","1981","01",NA
"46","3MBU1","1981","01",NA
"47","3HAU2","1981","01",NA
"48","3HBU2","1981","01",NA
"49","3U1","1981","01",NA
"50","1HAS1","1981","02",NA
"51","1HAS2","1981","02",NA
"52","1HBS1","1981","02",NA
"53","1HBS2","1981","02",NA
"54","1MAS1","1981","02",NA
"55","1MAS2","1981","02",NA
"56","1MBS1","1981","02",NA
"57","1MBS2","1981","02",NA
"58","1U1","1981","02",NA
"59","1U2","1981","02",NA
"60","2HAS1","1981","02",NA
"61","2HAS2","1981","02",NA
"62","2HAU1","1981","02",NA
"63","2HAU2","1981","02",NA
"64","2HBS1","1981","02",NA
"65","2HBS2","1981","02",NA
"66","2HBU1","1981","02",NA
"67","2HBU2","1981","02",NA
"68","2MAS1","1981","02",NA
"69","2MAS2","1981","02",NA
"70","2MAU1","1981","02",NA
"71","2MAU2","1981","02",NA
"72","2MBS1","1981","02",NA
"73","2MBS2","1981","02",NA
"74","2MBS3","1981","02",NA
"75","2MBU1","1981","02",NA
"76","2MBU2","1981","02",NA
