,Estimate,Std. Error,z value,Pr(>|z|),,,,,,,,,,,,,,
(Intercept),2.998075902,0.730016386,4.106861104,4.01E-05,brin,3 (0.73),(,0.73,),0.73,#NUM!,3,(0.73),,#NUM!,3,,3 (0.73)
TRTUnseeded,-3.237348452,0.907973014,-3.565467696,0.000363208,,-3.24 (0.91),(,0.91,),0.91,-3.24,#NUM!,(0.91),,-3.24,-3.24,,-3.24 (0.91)
RevBIMod,-1.222611115,0.848968949,-1.440112876,0.149835467,,-1.22 (0.85),(,0.85,),0.85,-1.22,#NUM!,(0.85),,-1.22,-1.22,,-1.22 (0.85)
RevBILow,-4.901177434,1.470433743,-3.333150819,0.000858684,,-4.9 (1.47),(,1.47,),1.47,-4.9,#NUM!,(1.47),,-4.9,-4.9,,-4.9 (1.47)
scale(elevation),3.545477502,0.80316069,4.414406163,1.01E-05,,3.55 (0.8),(,0.8,),0.80,#NUM!,3.55,(0.8),,#NUM!,3.55,,3.55 (0.8)
spei,-1.1744999,0.300601964,-3.907159771,9.34E-05,,-1.17 (0.3),(,0.3,),0.30,-1.17,#NUM!,(0.3),,-1.17,-1.17,,-1.17 (0.3)
(Intercept),-1.846455749,0.347746782,-5.309770909,1.10E-07,brte,-1.85 (0.35),(,0.35,),0.35,-1.85,#NUM!,(0.35),,-1.85,-1.85,,-1.85 (0.35)
TRTUnseeded,-0.432290722,0.427610011,-1.010946215,0.312042173,,-0.43 (0.43),(,0.43,),0.43,-0.43,#NUM!,(0.43),,-0.43,-0.43,,-0.43 (0.43)
RevBIMod,0.143107998,0.372250005,0.384440554,0.700651948,,0.14 (0.37),(,0.37,),0.37,#NUM!,0.14,(0.37),,#NUM!,0.14,,0.14 (0.37)
RevBILow,0.209503782,0.588224477,0.356162979,0.721718515,,0.21 (0.59),(,0.59,),0.59,#NUM!,0.21,(0.59),,#NUM!,0.21,,0.21 (0.59)
scale(elevation),-0.40643484,0.184649196,-2.201118922,0.027727606,,-0.41 (0.18),(,0.18,),0.18,-0.41,#NUM!,(0.18),,-0.41,-0.41,,-0.41 (0.18)
spei,-0.582612254,0.189720173,-3.07090303,0.002134124,,-0.58 (0.19),(,0.19,),0.19,-0.58,#NUM!,(0.19),,-0.58,-0.58,,-0.58 (0.19)
(Intercept),-0.023332748,0.340129066,-0.068599689,0.945308266,lol,-0.02 (0.34),(,0.34,),0.34,-0.02,#NUM!,(0.34),,-0.02,-0.02,,-0.02 (0.34)
TRTUnseeded,-2.754278131,0.600199237,-4.588939739,4.46E-06,,-2.75 (0.6),(,0.6,),0.60,-2.75,#NUM!,(0.6),,-2.75,-2.75,,-2.75 (0.6)
RevBIMod,-0.102369834,0.424326784,-0.24125235,0.809359539,,-0.1 (0.42),(,0.42,),0.42,-0.1,#NUM!,(0.42),,-0.1,-0.1,,-0.1 (0.42)
