"","variable","FS_BAND","1997","1998","2002","2008","2013","2016","2019"
"1","prop_brin","BAND",0,0,0,NA,0,NA,0
"2","prop_brin","FS",0.564102564102564,0.702702702702703,NA,0.82051282051282,0.769230769230769,0.777777777777778,0.871794871794872
"3","prop_brte","BAND",0,0,0,NA,0.25,NA,0.9
"4","prop_brte","FS",0.230769230769231,0.108108108108108,NA,0.0769230769230769,0.0512820512820513,0.194444444444444,0.358974358974359
"5","prop_lomu","BAND",0,0.1,0,NA,0,NA,0
"6","prop_lomu","FS",0.846153846153846,0.837837837837838,NA,0,0,0,0
"7","prop_lope","BAND",0,0,0,NA,0,NA,0
"8","prop_lope","FS",0.41025641025641,0.027027027027027,NA,0,0,0,0
"9","prop_brca","BAND",0,0,0,NA,0,NA,0
"10","prop_brca","FS",0.615384615384615,0.675675675675676,NA,0,0,0,0.0512820512820513
"11","prop_scsc","BAND",0,0,0,NA,0,NA,0.3
"12","prop_scsc","FS",0,0,NA,0.307692307692308,0,0,0.0512820512820513
"13","prop_eltr","BAND",0,0,0.1,NA,0,NA,0
"14","prop_eltr","FS",0.743589743589744,0.756756756756757,NA,0.333333333333333,0,0,0
"15","prop_bocu","BAND",0,0.1,0,NA,0,NA,0.1
"16","prop_bocu","FS",0.179487179487179,0.378378378378378,NA,0.512820512820513,0.102564102564103,0,0.256410256410256
"17","nplot","BAND",10,10,10,NA,4,NA,10
"18","nplot","FS",39,37,NA,39,39,36,39
