"","variable","RevBI","1997","1998","2002","2008","2013","2016","2019"
"1","prop_brin","High",0.5,0.666666666666667,0,0.944444444444444,0.8,0.882352941176471,0.818181818181818
"2","prop_brin","Mod",0.5,0.578947368421053,0,0.875,0.875,0.857142857142857,0.7
"3","prop_brin","Low",0.142857142857143,0.142857142857143,0,0.2,0,0.2,0.285714285714286
"4","prop_brte","High",0.136363636363636,0.142857142857143,0,0.0555555555555556,0.05,0.235294117647059,0.409090909090909
"5","prop_brte","Mod",0.3,0.0526315789473684,0,0.125,0.125,0.142857142857143,0.4
"6","prop_brte","Low",0,0,0,0,0,0.2,0.857142857142857
"7","prop_lomu","High",0.681818181818182,0.80952380952381,0,0,0,0,0
"8","prop_lomu","Mod",0.7,0.684210526315789,0,0,0,0,0
"9","prop_lomu","Low",0.571428571428571,0.285714285714286,0,0,0,0,0
"10","prop_lope","High",0.272727272727273,0,0,0,0,0,0
"11","prop_lope","Mod",0.5,0.0526315789473684,0,0,0,0,0
"12","prop_lope","Low",0,0,0,0,0,0,0
"13","prop_brca","High",0.545454545454545,0.619047619047619,0,0,0,0,0
"14","prop_brca","Mod",0.55,0.578947368421053,0,0,0,0,0.05
"15","prop_brca","Low",0.142857142857143,0.142857142857143,0,0,0,0,0.142857142857143
"16","prop_scsc","High",0,0,0,0.333333333333333,0,0,0.0454545454545455
"17","prop_scsc","Mod",0,0,0,0.3125,0,0,0.2
"18","prop_scsc","Low",0,0,0,0.2,0,0,0
"19","prop_eltr","High",0.636363636363636,0.714285714285714,0.25,0.388888888888889,0,0,0
"20","prop_eltr","Mod",0.65,0.631578947368421,0,0.375,0,0,0
"21","prop_eltr","Low",0.285714285714286,0.142857142857143,0,0,0,0,0
"22","prop_bocu","High",0.181818181818182,0.380952380952381,0,0.666666666666667,0.2,0,0.318181818181818
"23","prop_bocu","Mod",0.15,0.315789473684211,0,0.4375,0,0,0.2
"24","prop_bocu","Low",0,0.142857142857143,0,0.2,0,0,0
"25","nplot","High",22,21,4,18,20,17,22
"26","nplot","Mod",20,19,4,16,16,14,20
"27","nplot","Low",7,7,2,5,7,5,7
